zeichnung;ventiltype;innenrate;aussenrate;beipruefdruck;innenzeit;aussenzeit;bemerkungen;modifiedBy
523300;79R2/128CE;0,975;1,065;5;_;_;79 R2/128 CE 527676;
526328;88R1/140CE;1,184;1,163;5;_;_;Behelfsmäßige Prüfung möglich;
526442;105R1/178CE;1,78;1,9;5;_;_;_;
527676;79R2/128CE;0,975;1,066;5;_;_;_;
529095;52R2/86CD;0,45;0,47;5;_;_;_;
529246;88R4/140CE;1,3;1,16;5;_;_;88 R4/140 CE 516970;
529284;60R2/94CD;0,647;0,515;5;_;_;_;
540202;154CE/88R4;1,302;1,685;5;_;_;_;
540576;42R2/68CD;_;_;40/20;0,35;0,32;42 R2/68 CD 540576;
540648;79R2/128CE;0,975;1,066;5;_;_;79 R2/128 CE 527676;
540912;98R1/165CE;1,325;1,733;5;_;_;_;
542166;88R4/133CE;1,3;1,433;5;_;_;_;
542464;105R1/154CE;1,785;1,678;5;_;_;_;
542598;DIA174/2-A123S;2,15;1,82;5;_;_;DIA 174/2 - A 123 S V 4606;
542785;117R1/164CE;1,999;1,804;5;_;_;117 R1/164 CE 403577;
542786;117R1/164CE;1,999;1,804;5;_;_;117 R1/164 CE 403577;
272093;30R/54C;_;_;100/70;0,61;0,53;_;
543073;105R1/154CE;1,785;1,678;5;_;_;_;
543254;117R1/168CE;2;1,43;5;_;_;117R1/168CE 516911;stu
544040;174RX/274F;4,3;3,8;5;_;_;_;
544045;98RX/145E;1,322;1,574;5;_;_;98 RX/145 E 544678;
544613;105R1/178CE;1,8;1,9;5;_;_;105 R1/178 CE 088107;
544678;98RX/145E;1,322;1,574;5;_;_;_;
544685;174RX/274F;4,3;3,8;5;_;_;174 RX/274 F 544040;
545364;DIA34/DIA57;0,11;0,169;5;_;_;_;
545701;70R2/96CD;0,835;0,543;5;_;_;70 R2/96 CD 414805;
545702;117R1/164CE;1,999;1,804;5;_;_;117 R1/164 CE 403577;
545742;88CG2/146CE;1,26;1,53;5;_;_;_;
546336;79R1/128CE;0,975;1,05;5;_;_;_;
546927;42R2/77CD;0,299;0,381;5;_;_;_;
547471;79RLX/149SRD;0,766;0,488;5;_;_;_;
548478;79R2/113CD;0,975;0,613;5;_;_;79R1/113CD 042342;
548688;60R2/94CD;0,645;0,517;5;_;_;_;
548893;98RX/145E;1,322;1,574;5;_;_;98 RX/145 E 548894;
548894;98RX/145E;1,322;1,574;5;_;_;_;
548895;98RX/145E;1,322;1,574;5;_;_;98 RX/145 E 544678;
548896;98RX/145E;1,322;1,574;5;_;_;98 RX/145 E 544678;
548898;174RX/274F;4,3;3,8;5;_;_;174 RX/274 F 544040;
548899;174RX/274F;4,3;3,8;5;_;_;174 RX/274 F 544040;
548901;174RX/274F;4,3;3,8;5;_;_;174 RX/274 F 544040;
549188;60RLX/92SRD;0,598;0,261;5;_;_;60 RLX/86 CD 549205;
549205;60RLX/86CD;0,598;0,487;5;_;_;_;
549398;70RLX/96CD;0,835;0,543;5;_;_;70 R2/96 CD 414805;
549744;105R1/184SRE;1,787;1,144;5;_;_;_;
550078;62EY/103SRD;0,605;0,286;5;_;_;_;
